company_name,company_url,description,experience,location,position,skills,vacancy_link,vacancy_location
"The Dignify Solutions, LLC",https://www.linkedin.com/company/dignify-solutions?trk=public_jobs_jserp-result_job-search-card-subtitle,"Strong Python Programming Skills Python developer skills with Work experience of IDE (any) PyCharm, visual source code Experience with Git (basically able to commit the code) Strong SQL knowledge Experience with Python Flask would be highly desired. Experience with Node.JS is preferred.",N/A,USA,Python Developer,"python programming,ide,pycharm,visual source code,git,commit code,sql,python flask,node.js",https://www.linkedin.com/jobs/view/python-developer-at-the-dignify-solutions-llc-4317675722?refId=SdbH6ls551kFZ3uay8IE7A%3D%3D&trackingId=WmZI3rEH0Ffe%2BmqVF8ChAA%3D%3D&position=1&pageNum=0,"New York, NY"
Veracity Software Inc,https://www.linkedin.com/company/veracitysoftwareinc?trk=public_jobs_jserp-result_job-search-card-subtitle,"Job Title: Python Developer Job Location: Remote Job Travel Location(s): Remote (must be able to work PST) # Positions: 1 Duration: Long Term Key Technology: Python, Flask, Panda, SQL Scripts, We are seeking a skilled Python Developer to join our team and expand an existing tool that extracts data from modeling software into a Microsoft SQL database for our resource planning department. The ideal candidate will have strong Python programming skills, experience with SQL scripting, and the ability to collaborate effectively with business users and vendors within an Agile environment. Key Responsibilities: Enhance an existing tool to extract and transform data from modeling software into MS SQL Server database. Collaborate closely with business stakeholders to gather requirements and help create Agile user stories. Work with vendors to modify data extraction formats from binary to Apache Parquet. Participate actively in Agile development cycles, working in two-week sprints. Required Skills & Experience: Minimum 3 years of hands-on experience developing Python applications using Flask and Pandas libraries. Minimum 3 years experience writing and optimizing SQL scripts for data extraction and transformation. Strong ability to engage with business users to gather, understand, and translate requirements into technical solutions. Excellent communication skills and ability to collaborate across teams. Desired Skills: Familiarity with Agile methodologies and experience using JIRA for managing Agile projects. Experience working with Apache Parquet file format for data storage and transfer.",3,USA,Python Developer,"python,flask,pandas,sql scripts,agile,jira,apache parquet",https://www.linkedin.com/jobs/view/python-developer-at-veracity-software-inc-4263097316?refId=SdbH6ls551kFZ3uay8IE7A%3D%3D&trackingId=tCuZ1qFcIL00QwFiXxopkw%3D%3D&position=2&pageNum=0,"San Jose, CA"
GuruSchools LLC,https://www.linkedin.com/company/guruschools?trk=public_jobs_jserp-result_job-search-card-subtitle,"Position: Junior Django Developer Location: Chicago, Illinois Experience: 0-2 Years Mode of working: Remote Employment Type: Full-Time (WFH) Overview: We are looking for an enthusiastic Junior Django Developer to join our growing development team. This role is perfect for freshers and early professionals eager to build hands-on experience in Python, Django, and web application development. You will receive on-the-job training, real-time project support, interview preparation, and continuous job support to accelerate your growth as a full-stack web developer. Key Responsibilities: Assist in the design, development, and maintenance of web applications using Python and Django framework. Develop and integrate RESTful APIs for web and mobile applications. Work with front-end technologies like HTML, CSS, JavaScript, and modern frameworks (React/Angular preferred). Collaborate with cross-functional teams to ensure timely delivery of features and bug fixes. Participate in code reviews, debugging, and performance optimization. Work with databases such as PostgreSQL, MySQL, or SQLite. Contribute to deployment, version control, and CI/CD pipelines. Gain hands-on experience through project support on real-world use cases. Take part in job support and interview preparation sessions to enhance technical expertise and workplace readiness. Required Skills: 0-2 years of experience in Python and Django development. Strong understanding of object-oriented programming and MVC architecture. Basic knowledge of HTML, CSS, JavaScript, and responsive design principles. Familiarity with REST APIs and ORM frameworks. Good analytical and problem-solving skills with attention to detail.",0,USA,Junior Django Developer,"python,django,web application development,restful apis,html,css,javascript,react,angular,postgresql,mysql,sqlite,deployment,version control,ci/cd pipelines,object-oriented programming,mvc architecture,responsive design,rest apis,orm frameworks,analytical skills,problem-solving skills",https://www.linkedin.com/jobs/view/junior-django-developer-at-guruschools-llc-4331456771?refId=SdbH6ls551kFZ3uay8IE7A%3D%3D&trackingId=fmZ9460y%2Bu%2BoWovFVy26aQ%3D%3D&position=4&pageNum=0,"Chicago, IL"
Snowrelic Inc,https://www.linkedin.com/company/snowrelic?trk=public_jobs_jserp-result_job-search-card-subtitle,"Position: Python Developer Location: Houston , TX Roles And Responsibilities Must be able to work independently within defined projects/work streams and is checked on at the end for results. Possesses a strong understanding of large-scale application architecture and design. Must have strong communication skills, particularly in collaborating with external parties, including business stakeholders. This is essential. Has an executional role in design and development projects or acts as an expert tester who designs test scripts and provides overall project guidance and planning support. Advises internally on solving functional and technical problems regarding the assigned applications and Infrastructure. Mandatory Skills API development using Python as OOP Experience in how distributed asynchronous systems work, how to design them to avoid data conflicts and how to do it all in immutable environments orchestrated across multiple machines. Experience with database technologies such as SQL DB, Oracle Experience with Docker, Kafka, Kubernetes, and Microsoft Azure/AWS, GitHub, or experience with any kind of message broker system (e.g. RabbitMQ, ActiveMQ, AWS SQS etc) Excellent analytical, problem-solving, coding, testing, and automation skill Object-orientated software professional that ideally has experience using at least one strongly-typed language Collaborate with the lead functional developer to define, develop, test, and release new features Provide workarounds & bug fixes for urgent production issues Familiar with DevOps, Continuous Integration / Continuous Deployment Experience at mentoring junior staff",N/A,USA,Python Developer,,https://www.linkedin.com/jobs/view/python-developer-at-snowrelic-inc-4244594706?refId=SdbH6ls551kFZ3uay8IE7A%3D%3D&trackingId=I%2BRet7S8CFGCbY7rG1LVRg%3D%3D&position=3&pageNum=0,"Houston, TX"
Veracity Software Inc,https://www.linkedin.com/company/veracitysoftwareinc?trk=public_jobs_jserp-result_job-search-card-subtitle,"We are seeking an experienced seeking a Python Developer with React with extensive experience in with Python, React, AWS, SQL & Django. Title: Python Developer with React Job location: New York- Hybrid Duration: Long Term Contract Key Responsibilities Design, develop, and maintain web applications using Python, React JS and SQL. Implement efficient, reusable, and scalable code for both frontend and backend components. Collaborate with cross-functional teams to define, design, and ship new features. Develop and integrate RESTful APIs. Ensure application security, authentication, and authorization using industry best practices. Leverage CI/CD pipelines and deployment tools for seamless releases. Participate in code reviews, testing, and debugging to improve software quality. Lead a team of Engineers, in a global delivery model. Stay up to date with emerging technologies and trends in full-stack development. Required Skills & Experience 8+ years of experience in full-stack development. Strong proficiency in Python with experience in frameworks like Django, Flask, or FastAPI. Expertise in JavaScript/TypeScript - React JS. Experience with version control systems like Git (GitHub, GitLab, or Bitbucket). Strong proficiency of relational databases such as PostgreSQL or MySQL etc. Familiarity with authentication mechanisms including OAuth and JSON Web Tokens (JWT). Experience with cloud platforms (AWS, Azure, or Google Cloud) is a plus. Basic understanding of containerization and DevOps tools like Docker and CI/CD pipelines. Knowledge of testing frameworks such as pytest (Python) and Jest or Mocha (JavaScript/TypeScript). Experience in leading teams, working in global delivery model",8,USA,Python Developer,"python,react,aws,sql,django,flask,fastapi,javascript,typescript,git,github,gitlab,bitbucket,postgresql,mysql,oauth,json web tokens,jwt,azure,google cloud,docker,ci/cd pipelines,pytest,jest,mocha,testing frameworks,full-stack development,api development,restful apis,application security,authentication,authorization,code reviews,team leadership,global delivery model",https://www.linkedin.com/jobs/view/python-developer-at-veracity-software-inc-4227538204?refId=SdbH6ls551kFZ3uay8IE7A%3D%3D&trackingId=TuiP4cDPrx%2FIei8AEAgMow%3D%3D&position=6&pageNum=0,"New York, NY"
Snowrelic Inc,https://www.linkedin.com/company/snowrelic?trk=public_jobs_jserp-result_job-search-card-subtitle,"Role: Python Developer Location: DC Required Skills And Experience Hands-on experience, proficiency in Python development environment using framework such Fast API, Pandas, NumPy, bs4, AWS, Azure SDKs, AI frameworks. Experience with creating dashboards, reports based on data sources, plat file data. Microsoft Power BI reporting tool skills. MSAL and Graph API with SharePoint and Azure skills. Connector development skills using Python and APIs. Integrate Python with AI to perform access control data reviews and identify exceptions. Experience with PowerShell and bash script for CI/CD and access control reviews. Experience with Azure's OpenAI technologies and familiarity with machine learning frameworks, indicating the ability to integrate AI capabilities into applications. Strong understanding of access control data models (e.g., RBAC, ABAC). Deep understanding in using any of the DevOps tools such as Azure DevOps. Integration skills. Hands-on experience with reporting libraries in Python (Pandas, Matplotlib, Plotly, Dash, etc.). Utilize Microsoft Graph API Familiarity with PlainID platforms.",N/A,USA,Python Developer,"python,fast api,pandas,numpy,bs4,aws,azure sdks,ai frameworks,dashboard creation,reports,plat file data,microsoft power bi,msal,graph api,sharepoint,connector development,apis,access control data reviews,powershell,bash script,ci/cd,azure openai,machine learning frameworks,access control data models,rbac,abac,azure devops,devops tools,integration skills,reporting libraries,matplotlib,plotly,dash,microsoft graph api,plainid platforms",https://www.linkedin.com/jobs/view/python-developer-at-snowrelic-inc-4244598727?refId=SdbH6ls551kFZ3uay8IE7A%3D%3D&trackingId=e6rzFPQjuWHZDUbxpAQYmg%3D%3D&position=7&pageNum=0,"Washington, DC"
"The Dignify Solutions, LLC",https://www.linkedin.com/company/dignify-solutions?trk=public_jobs_jserp-result_job-search-card-subtitle,Senior Python Developer with 7 -10 + years experience JavaScript AWS Strong Programming and analytical skills Understanding of Devops,7,USA,Python Developer - Remote,"python,javascript,aws,programming,analytical skills,devops",https://www.linkedin.com/jobs/view/python-developer-remote-at-the-dignify-solutions-llc-4317672739?refId=SdbH6ls551kFZ3uay8IE7A%3D%3D&trackingId=YPzfjXsD%2FlFgSstK6nvkIQ%3D%3D&position=8&pageNum=0,"Houston, TX"
Saransh Inc,https://www.linkedin.com/company/saransh-inc-usa?trk=public_jobs_jserp-result_job-search-card-subtitle,"Title: Python Developer Location: Tampa, FL Job Description Strong experience with Python, especially in scripting and automation tasks. Proficiency in SQL, with the ability to write and optimize complex queries. Familiarity with cloud technologies (e.g., AWS, GCP, or Azure). Basic knowledge of Java, including the ability to understand and work with Java code when necessary. Experience working with RESTful APIs and integrating with third-party services. Solid understanding of software development principles and best practices. Excellent problem-solving skills and a detail-oriented approach. Ability to work independently as well as part of a team in a fast-paced environment",N/A,USA,Python Developer,"python,scripting,automation,sql,complex queries,cloud technologies,aws,gcp,azure,java,restful apis,third-party services,software development principles,problem-solving,teamwork",https://www.linkedin.com/jobs/view/python-developer-at-saransh-inc-4311727975?refId=SdbH6ls551kFZ3uay8IE7A%3D%3D&trackingId=AfKdZvZLwW79YKGZh3W5Jg%3D%3D&position=9&pageNum=0,"Tampa, FL"
Snowrelic Inc,https://www.linkedin.com/company/snowrelic?trk=public_jobs_jserp-result_job-search-card-subtitle,"We are seeking an experienced Python Developer with strong expertise in MongoDB to lead the design, development, and deployment of scalable backend solutions. The ideal candidate will be responsible for guiding a team of developers, architecting robust data models, and building high-performance, secure APIs and microservices leveraging Python and MongoDB. Location: Charlotte, North Carolina/ Irving, TX Client Interview will be In person (mandatory ) Responsibilities Develop, enhance, and maintain Python-based banking applications with a focus on clean, efficient, and reliable code. Design and implement algorithms, data structures, and solutions to optimize application performance. Build and consume RESTful APIs to facilitate seamless data exchange and integration across banking systems. Develop web applications using Python frameworks such as Django, Flask, or FastAPI. Leverage Python libraries like NumPy, Pandas, Matplotlib, SciPy, Scikit-learn, and TensorFlow for data analysis and machine learning tasks (advantageous but optional). Collaborate with cross-functional teams on system design, architecture, and best practices in development. Implement CI/CD pipelines using Jenkins, GitLab CI, or Circle CI for automated testing and deployment. Deploy applications on cloud platforms like AWS, Google Cloud, or Microsoft Azure. Engage in troubleshooting, code reviews, and ensuring compliance with banking security standards. Work with legacy banking systems, migration projects, and modernization efforts. Requirements Bachelor’s degree in Computer Science, Software Engineering, or related field. 10+ years of professional experience in Python development, with substantial banking domain exposure. Strong mastery of Python syntax, data structures, object-oriented programming, and design patterns. Extensive experience with Python web frameworks such as Django, Flask, or FastAPI. Proven experience designing and integrating RESTful APIs. Hands-on knowledge of database systems like SQL Server, Oracle, or similar, and ORM frameworks such as Django ORM or SQLAlchemy. Familiarity with cloud deployment (AWS, GCP, Azure) and containerization (Docker, Kubernetes) is a plus. Solid understanding of CI/CD practices and tools. Excellent problem-solving skills, attention to detail, and ability to work under deadlines. Preferred: Experience working within banking or financial institutions. Preferred, But Not Required Knowledge of machine learning libraries such as SciPy, Scikit-learn, TensorFlow. Experience with legacy banking systems and modernization projects. Strong communication skills and team collaboration experience. Agile/Scrum development experience.",10,USA,Python Developer,"python,mongodb,design,development,deployment,backend,team leadership,data models,apis,microservices,python frameworks,django,flask,fastapi,numpy,pandas,matplotlib,scipy,scikit-learn,tensorflow,ci/cd pipelines,jenkins,gitlab ci,circle ci,cloud platforms,aws,google cloud,microsoft azure,troubleshooting,code reviews,banking security standards,legacy banking systems,migration,modernization,software engineering,object-oriented programming,design patterns,restful apis,sql server,oracle,orm,django orm,sqlalchemy,containerization,docker,kubernetes,problem-solving,agile,scrum",https://www.linkedin.com/jobs/view/python-developer-at-snowrelic-inc-4258543847?refId=SdbH6ls551kFZ3uay8IE7A%3D%3D&trackingId=bZNOOSl6OMOIpuCeXHNmnw%3D%3D&position=10&pageNum=0,"Charlotte, NC"
OVA.Work,https://www.linkedin.com/company/ova-work?trk=public_jobs_jserp-result_job-search-card-subtitle,"Job Title: Python Developer Location: Alpharetta , GA Job Type: Remote Experience Level: Senior Job Summary We are looking for a skilled Python Developer to join our development team. The ideal candidate will be responsible for writing and testing scalable code, developing back-end components, and integrating user-facing elements with server-side logic. You should have a strong understanding of Python frameworks and be comfortable working in a fast-paced environment. Key Responsibilities Write reusable, testable, and efficient code using Python. Develop back-end components to improve responsiveness and overall performance. Integrate user-facing elements developed by front-end developers with server-side logic. Implement security and data protection solutions. Collaborate with cross-functional teams to define and design new features. Debug and upgrade existing software. Participate in code reviews and contribute to team knowledge sharing. Required Skills And Qualifications Strong proficiency in Python and its frameworks (e.g., Django, Flask, FastAPI). Experience with RESTful APIs and web services. Familiarity with front-end technologies (HTML, CSS, JavaScript) is a plus. Knowledge of databases (SQL and NoSQL). Experience with version control systems like Git. Understanding of software development principles and best practices. Preferred Qualifications Bachelor's degree in Computer Science, Engineering, or related field. Experience with cloud platforms (AWS, Azure, GCP). Familiarity with containerization tools like Docker and Kubernetes. Knowledge of CI/CD pipelines and DevOps practices. Experience with data analysis or machine learning is a bonus.",senior,USA,Python Developer,"python,django,flask,fastapi,restful apis,web services,html,css,javascript,sql,nosql,git,cloud platforms,aws,azure,gcp,docker,kubernetes,ci/cd pipelines,devops,data analysis,machine learning",https://www.linkedin.com/jobs/view/python-developer-at-ova-work-4309352216?refId=SdbH6ls551kFZ3uay8IE7A%3D%3D&trackingId=XU0CZruKH8lh6HuVRqfehg%3D%3D&position=11&pageNum=0,"Alpharetta, GA"
