company_name,company_url,description,experience,location,position,skills,vacancy_link,vacancy_location
Silver Valley Homes,https://ca.linkedin.com/company/silver-valley-homes?trk=public_jobs_jserp-result_job-search-card-subtitle,"Exciting Career Opportunity - Join Our Team! We are looking for dedicated and motivated individuals to join our team and contribute to our continued success. This position offers a chance to grow professionally in a supportive and inclusive environment, with flexibility and long-term career potential. Employment Type Full-Time / Part-Time Salary Range $35-40/hr Job Summary The ideal candidate will perform a range of tasks to support daily operations, contribute to team goals, and uphold our standards of excellence. This role requires a proactive attitude, a willingness to learn, and a commitment to quality and professionalism. Key Responsibilities Support day-to-day operations and team functions Maintain accuracy and attention to detail in assigned tasks Communicate effectively with team members and clients Adhere to company policies, procedures, and deadlines Take initiative and show flexibility in handling tasks Contribute to a positive and respectful work culture Qualifications High school diploma or equivalent (college degree a plus) Basic computer and communication skills Strong organizational and time management abilities Ability to work independently or as part of a team Adaptable and willing to learn new tools or systems Reliable and responsible work ethic Benefits Competitive salary with opportunities for increases Flexible work hours and remote options (if applicable) Opportunities for career growth and advancement Ongoing training and development Health, dental, and vision insurance (if applicable) Paid time off and holiday benefits Employee support programs and recognition Take the next step in your career and apply today. We are excited to learn more about you!",N/A,USA,"Operator Data Entry,  Junior ( Remote)",,https://www.linkedin.com/jobs/view/operator-data-entry-junior-remote-at-silver-valley-homes-4333546758?refId=z4Hbs8BIbGfve151LEzU4A%3D%3D&trackingId=C1MFd0LJMrOrrW7pV36tWA%3D%3D&position=1&pageNum=0,"California, United States"
"La Fédération de la Maille, de la Lingerie & du Balnéaire",https://www.linkedin.com/company/la-f%C3%A9d%C3%A9ration-de-la-maille-&-de-la-lingerie?trk=public_jobs_jserp-result_job-search-card-subtitle,"Exciting Career Opportunity - Join Our Team! We are looking for dedicated and motivated individuals to join our team and contribute to our continued success. This position offers a chance to grow professionally in a supportive and inclusive environment, with flexibility and long-term career potential. Employment Type Full-Time / Part-Time Salary Range $35-40/hr Job Summary The ideal candidate will perform a range of tasks to support daily operations, contribute to team goals, and uphold our standards of excellence. This role requires a proactive attitude, a willingness to learn, and a commitment to quality and professionalism. Key Responsibilities Support day-to-day operations and team functions Maintain accuracy and attention to detail in assigned tasks Communicate effectively with team members and clients Adhere to company policies, procedures, and deadlines Take initiative and show flexibility in handling tasks Contribute to a positive and respectful work culture Qualifications High school diploma or equivalent (college degree a plus) Basic computer and communication skills Strong organizational and time management abilities Ability to work independently or as part of a team Adaptable and willing to learn new tools or systems Reliable and responsible work ethic Benefits Competitive salary with opportunities for increases Flexible work hours and remote options (if applicable) Opportunities for career growth and advancement Ongoing training and development Health, dental, and vision insurance (if applicable) Paid time off and holiday benefits Employee support programs and recognition Take the next step in your career and apply today. We are excited to learn more about you!",N/A,USA,Entry Level - Research Data Analyst (Remote) Immediate,,https://www.linkedin.com/jobs/view/entry-level-research-data-analyst-remote-immediate-at-la-f%C3%A9d%C3%A9ration-de-la-maille-de-la-lingerie-du-baln%C3%A9aire-4333721963?refId=z4Hbs8BIbGfve151LEzU4A%3D%3D&trackingId=rPmC497U3qGzk52q3K7I8A%3D%3D&position=2&pageNum=0,"New York, United States"
Vision Link Surveillance,https://www.linkedin.com/company/vision-link-surveillance?trk=public_jobs_jserp-result_job-search-card-subtitle,"Exciting Career Opportunity - Join Our Team! We are looking for dedicated and motivated individuals to join our team and contribute to our continued success. This position offers a chance to grow professionally in a supportive and inclusive environment, with flexibility and long-term career potential. Employment Type Full-Time / Part-Time Salary Range $35-40/hr Job Summary The ideal candidate will perform a range of tasks to support daily operations, contribute to team goals, and uphold our standards of excellence. This role requires a proactive attitude, a willingness to learn, and a commitment to quality and professionalism. Key Responsibilities Support day-to-day operations and team functions Maintain accuracy and attention to detail in assigned tasks Communicate effectively with team members and clients Adhere to company policies, procedures, and deadlines Take initiative and show flexibility in handling tasks Contribute to a positive and respectful work culture Qualifications High school diploma or equivalent (college degree a plus) Basic computer and communication skills Strong organizational and time management abilities Ability to work independently or as part of a team Adaptable and willing to learn new tools or systems Reliable and responsible work ethic Benefits Competitive salary with opportunities for increases Flexible work hours and remote options (if applicable) Opportunities for career growth and advancement Ongoing training and development Health, dental, and vision insurance (if applicable) Paid time off and holiday benefits Employee support programs and recognition Take the next step in your career and apply today. We are excited to learn more about you!",N/A,USA,"Operator Data Entry,  Junior ( Remote)",,https://www.linkedin.com/jobs/view/operator-data-entry-junior-remote-at-vision-link-surveillance-4333516880?refId=z4Hbs8BIbGfve151LEzU4A%3D%3D&trackingId=RuiO54ieQIcuIwfPu4uBIg%3D%3D&position=3&pageNum=0,"Texas, United States"
Daice Labs,https://www.linkedin.com/company/daice-labs?trk=public_jobs_jserp-result_job-search-card-subtitle,"Company Description Daice Labs is building hybrid AI frameworks that integrate today's models into systems that learn continuously. Founded by MIT CSAIL scientists, we focus on building new architectures by combining LLMs/DL with symbolic reasoning and bio-inspired system design. Operating on two tracks, our Product Lab develops industry-specific solutions for collaborative human teams + AI co-building and co-owning vertical applications, while our Research Lab explores how principles of natural intelligence can guide systems design of new hybrid AI architectures. Join us in taking the next leap in productivity through collaborative innovation. Role Description This is a full-time remote role for a Junior AI/ML Engineer. The engineer will be responsible for developing, testing, and optimizing AI/ML models with a focus on hybrid AI architectures. Day-to-day tasks include implementing innovative algorithms, conducting experiments to validate models, collaborating with cross-functional teams, and contributing to research on new AI paradigms. The engineer will also be involved in translating research findings into practical applications and building scalable AI solutions. Qualifications Strong understanding of Pattern Recognition, Neural Networks, LLMs, agentic architectures, hybrid  and composite AI Proficiency in Computer Science and ML Algorithms (proficiency in python and ML stack languages) Experience with Statistics, evaluation, inference, platform integration Good problem-solving skills and the ability to work collaboratively Excellent written and verbal communication skills Bachelor's degree in AI, Machine Learning, Computer Science, or related field Experience in hybrid AI architectures is a plus Ability to work independently and remotely",N/A,USA,Junior AI/ML engineer,"pattern recognition,neural networks,llms,agentic architectures,hybrid ai,composite ai,computer science,ml algorithms,python,ml stack languages,statistics,evaluation,inference,platform integration,problem-solving,communication skills",https://www.linkedin.com/jobs/view/junior-ai-ml-engineer-at-daice-labs-4333568414?refId=z4Hbs8BIbGfve151LEzU4A%3D%3D&trackingId=8uRCSwnVTi20WfoqMNN5Ig%3D%3D&position=4&pageNum=0,"Boston, MA"
INGENIERÍA SIGLO XXI (ICA),https://www.linkedin.com/company/ingenier%C3%ADa-siglo-xxi-ica-?trk=public_jobs_jserp-result_job-search-card-subtitle,"Exciting Career Opportunity - Join Our Team! We are looking for dedicated and motivated individuals to join our team and contribute to our continued success. This position offers a chance to grow professionally in a supportive and inclusive environment, with flexibility and long-term career potential. Employment Type Full-Time / Part-Time Salary Range $35-40/hr Job Summary The ideal candidate will perform a range of tasks to support daily operations, contribute to team goals, and uphold our standards of excellence. This role requires a proactive attitude, a willingness to learn, and a commitment to quality and professionalism. Key Responsibilities Support day-to-day operations and team functions Maintain accuracy and attention to detail in assigned tasks Communicate effectively with team members and clients Adhere to company policies, procedures, and deadlines Take initiative and show flexibility in handling tasks Contribute to a positive and respectful work culture Qualifications High school diploma or equivalent (college degree a plus) Basic computer and communication skills Strong organizational and time management abilities Ability to work independently or as part of a team Adaptable and willing to learn new tools or systems Reliable and responsible work ethic Benefits Competitive salary with opportunities for increases Flexible work hours and remote options (if applicable) Opportunities for career growth and advancement Ongoing training and development Health, dental, and vision insurance (if applicable) Paid time off and holiday benefits Employee support programs and recognition Take the next step in your career and apply today. We are excited to learn more about you!",N/A,USA,"Operator Data Entry,  Junior ( Remote)",,https://www.linkedin.com/jobs/view/operator-data-entry-junior-remote-at-ingenier%C3%ADa-siglo-xxi-ica-4333730677?refId=z4Hbs8BIbGfve151LEzU4A%3D%3D&trackingId=dU1%2BAU9WP%2B0qjzcLsEsmHQ%3D%3D&position=8&pageNum=0,"California, United States"
Lensa,https://www.linkedin.com/company/lensa?trk=public_jobs_jserp-result_job-search-card-subtitle,"Lensa is a career site that helps job seekers find great jobs in the US. We are not a staffing firm or agency. Lensa does not hire directly for these jobs, but promotes jobs on LinkedIn on behalf of its direct clients, recruitment ad agencies, and marketing partners. Lensa partners with DirectEmployers to promote this job for OneRail. Clicking ""Apply Now"" or ""Read more"" on Lensa redirects you to the job board/employer site. Any information collected there is subject to their terms and privacy notice. Joining OneRail as a Jr. Data Analyst means integrating into a skilled group intent on revolutionizing data management and analytics. You will align closely with different departments, including Transportation, Operations, Sales, Marketing, and IT, leveraging data to influence decisions and drive strategic growth. Your role is pivotal in maintaining and developing our Power BI reports, creating sophisticated Excel analyses, and scripting with Python to streamline data processes. Responsibilities Conduct ad-hoc data analysis using Excel, Python, Power BI, Snowflake, SQL and other tools to provide actionable insights to guide business decisions. Develop new Power BI reports that articulate complex data in a clear, concise manner. Create and maintain scripting routines for data manipulation and automation with Python. Prepare findings to non-technical audiences, translating data into strategic insights. Create and support tooling for various departments in the business. Design, create, and maintain tools for various business departments, enhancing their productivity and capabilities. Use data science and AI methods to support problem-solving and develop practical, data-driven solutions. What You Will Do Manage multiple data projects concurrently, maintaining flexibility to shift priorities as needed. Translate complex data findings into understandable reports and dashboards that inform business strategies. Develop in-depth understanding of business needs and leverage data to propose innovative solutions. Other duties as assigned – it is understood that this list of major duties and responsibilities is not an inclusive list and that other duties and responsibilities, which may include helping others in the same or different departments, may be assigned by supervision. Apply artificial intelligence techniques to address complex business challenges and contribute to strategic decision-making. Construct and maintain advanced data models that forecast trends and inform company directives. What You Will Bring To The Team Competence in developing and maintaining Power BI datasets and reports, adept at converting complex datasets into intuitive and impactful visual reports. Practical experience with SQL for effective database querying, analysis, and management. Proficiency in scripting with Python, especially in the context of data manipulation and automation tasks. A strong foundation in data analysis and business intelligence principles with an emphasis on delivering actionable insights. Mathematical and analytical skills to accurately collect, measure, organize, and interpret large datasets. Proactive identification of risks and opportunities with the ability to communicate these to both technical and non-technical stakeholders. Outstanding verbal and written communication skills. Highly organized with an innate sense of urgency, able to juggle multiple priorities and meet stringent deadlines without compromising on detail or accuracy. A collaborative mindset and willingness to pitch in where needed, recognizing that the role may evolve in line with the company's growth and data strategy. Previous experience in a data-centric role within a dynamic business environment is highly beneficial. Note: This role falls under Comp Band 3 with the annual base compensation is expected to be between $60,000 to $74,500. Powered by JazzHR If you have questions about this posting, please contact support@lensa.com",N/A,USA,Junior Data Analyst,"power bi,excel,python,snowflake,sql,data science,artificial intelligence,data analysis,business intelligence,mathematical skills,analytical skills,communication skills,project management",https://www.linkedin.com/jobs/view/junior-data-analyst-at-lensa-4333519338?refId=z4Hbs8BIbGfve151LEzU4A%3D%3D&trackingId=mDs5oYsCpvNcSujTzyLstw%3D%3D&position=9&pageNum=0,"Orlando, FL"
JLS ApS,https://dk.linkedin.com/company/jls-aps?trk=public_jobs_jserp-result_job-search-card-subtitle,"Exciting Career Opportunity - Join Our Team! We are looking for dedicated and motivated individuals to join our team and contribute to our continued success. This position offers a chance to grow professionally in a supportive and inclusive environment, with flexibility and long-term career potential. Employment Type Full-Time / Part-Time Salary Range $35-40/hr Job Summary The ideal candidate will perform a range of tasks to support daily operations, contribute to team goals, and uphold our standards of excellence. This role requires a proactive attitude, a willingness to learn, and a commitment to quality and professionalism. Key Responsibilities Support day-to-day operations and team functions Maintain accuracy and attention to detail in assigned tasks Communicate effectively with team members and clients Adhere to company policies, procedures, and deadlines Take initiative and show flexibility in handling tasks Contribute to a positive and respectful work culture Qualifications High school diploma or equivalent (college degree a plus) Basic computer and communication skills Strong organizational and time management abilities Ability to work independently or as part of a team Adaptable and willing to learn new tools or systems Reliable and responsible work ethic Benefits Competitive salary with opportunities for increases Flexible work hours and remote options (if applicable) Opportunities for career growth and advancement Ongoing training and development Health, dental, and vision insurance (if applicable) Paid time off and holiday benefits Employee support programs and recognition Take the next step in your career and apply today. We are excited to learn more about you!",N/A,USA,"Operator Data Entry,  Junior ( Remote)",,https://www.linkedin.com/jobs/view/operator-data-entry-junior-remote-at-jls-aps-4333690972?refId=z4Hbs8BIbGfve151LEzU4A%3D%3D&trackingId=T%2B1FjFPoSQrrktPOEobkNA%3D%3D&position=10&pageNum=0,"California, United States"
Autolease,https://es.linkedin.com/company/autolease-renting?trk=public_jobs_jserp-result_job-search-card-subtitle,"Exciting Career Opportunity - Join Our Team! We are looking for dedicated and motivated individuals to join our team and contribute to our continued success. This position offers a chance to grow professionally in a supportive and inclusive environment, with flexibility and long-term career potential. Employment Type Full-Time / Part-Time Salary Range $35-40/hr Job Summary The ideal candidate will perform a range of tasks to support daily operations, contribute to team goals, and uphold our standards of excellence. This role requires a proactive attitude, a willingness to learn, and a commitment to quality and professionalism. Key Responsibilities Support day-to-day operations and team functions Maintain accuracy and attention to detail in assigned tasks Communicate effectively with team members and clients Adhere to company policies, procedures, and deadlines Take initiative and show flexibility in handling tasks Contribute to a positive and respectful work culture Qualifications High school diploma or equivalent (college degree a plus) Basic computer and communication skills Strong organizational and time management abilities Ability to work independently or as part of a team Adaptable and willing to learn new tools or systems Reliable and responsible work ethic Benefits Competitive salary with opportunities for increases Flexible work hours and remote options (if applicable) Opportunities for career growth and advancement Ongoing training and development Health, dental, and vision insurance (if applicable) Paid time off and holiday benefits Employee support programs and recognition Take the next step in your career and apply today. We are excited to learn more about you!",N/A,USA,"Operator Data Entry,  Junior ( Remote)",,https://www.linkedin.com/jobs/view/operator-data-entry-junior-remote-at-autolease-4333692396?refId=z4Hbs8BIbGfve151LEzU4A%3D%3D&trackingId=eDRzGrAqqNZGvZlC%2Fpp7Ew%3D%3D&position=11&pageNum=0,"Texas, United States"
Swan EMS an EC Electronics Company,https://uk.linkedin.com/company/swan-ems?trk=public_jobs_jserp-result_job-search-card-subtitle,"Exciting Career Opportunity - Join Our Team! We are looking for dedicated and motivated individuals to join our team and contribute to our continued success. This position offers a chance to grow professionally in a supportive and inclusive environment, with flexibility and long-term career potential. Employment Type Full-Time / Part-Time Salary Range $35-40/hr Job Summary The ideal candidate will perform a range of tasks to support daily operations, contribute to team goals, and uphold our standards of excellence. This role requires a proactive attitude, a willingness to learn, and a commitment to quality and professionalism. Key Responsibilities Support day-to-day operations and team functions Maintain accuracy and attention to detail in assigned tasks Communicate effectively with team members and clients Adhere to company policies, procedures, and deadlines Take initiative and show flexibility in handling tasks Contribute to a positive and respectful work culture Qualifications High school diploma or equivalent (college degree a plus) Basic computer and communication skills Strong organizational and time management abilities Ability to work independently or as part of a team Adaptable and willing to learn new tools or systems Reliable and responsible work ethic Benefits Competitive salary with opportunities for increases Flexible work hours and remote options (if applicable) Opportunities for career growth and advancement Ongoing training and development Health, dental, and vision insurance (if applicable) Paid time off and holiday benefits Employee support programs and recognition Take the next step in your career and apply today. We are excited to learn more about you!",N/A,USA,"Operator Data Entry,  Junior ( Remote)",,https://www.linkedin.com/jobs/view/operator-data-entry-junior-remote-at-swan-ems-an-ec-electronics-company-4333770424?refId=z4Hbs8BIbGfve151LEzU4A%3D%3D&trackingId=sxbD88wNF3aQmrNuypYSqg%3D%3D&position=12&pageNum=0,"New York, United States"
Lensa,https://www.linkedin.com/company/lensa?trk=public_jobs_jserp-result_job-search-card-subtitle,"Lensa is a career site that helps job seekers find great jobs in the US. We are not a staffing firm or agency. Lensa does not hire directly for these jobs, but promotes jobs on LinkedIn on behalf of its direct clients, recruitment ad agencies, and marketing partners. Lensa partners with DirectEmployers to promote this job for Prime Therapeutics. Clicking ""Apply Now"" or ""Read more"" on Lensa redirects you to the job board/employer site. Any information collected there is subject to their terms and privacy notice. Our work matters. We help people get the medicine they need to feel better and live well. We do not lose sight of that. It fuels our passion and drives every decision we make. Job Posting Title Data & Reporting Analyst - REMOTE Job Description The Data & Reporting Analyst is responsible for supporting the business in decision making and operations efforts by providing data, reporting and business intelligence services. This role is responsible for working with the business and converting data into meaningful and actionable reporting solutions. Responsibilities Develop reporting solutions following internal reporting standards and best practices by collecting, validating, interpreting, and organizing various types of data into meaningful reports and/or summaries for designated client groups Maintain and improve the reliability, efficiency and functionality of existing reports Facilitate team request intake sessions to collect reporting requirements and determine project prioritization Recommend quality and system improvements by analyzing the data issues, maintaining and enhancing data iteration processes, and collaborating with system owners to improve upstream processes Train users and team members as needed Other duties as assigned Minimum Qualifications Bachelor's degree in Mathematics, Computer Science, Information Systems or related area of study, or equivalent combination of education and/or relevant work experience; HS diploma or GED required 2 years of work experience in data analysis and reporting 1 year of SQL experience Must be eligible to work in the United States without need for work visa or residency sponsorship Additional Qualifications Ability to analyze and solve problems using analytical tools Time management and prioritization skills Advanced knowledge of Microsoft Excel and Access tools in addition to familiarity with other reporting technologies Preferred Qualifications Experience with report generating technologies (such as Cognos, SAS, Alteryx, Qlikview, MicroStrategy, Business Objects, Tableau, etc.) Experience with data consolidation and modeling PBM experience or experience working with medical claims, pharmacy claims, healthcare and/or benefits data Experience in the implementation of quality process improvement efforts Experience documenting requirements, creating training materials and working directly with end users Every employee must understand, comply with and attest to the security responsibilities and security controls unique to their job, and comply with all applicable legal, regulatory, and contractual requirements and internal policies and procedures Every employee must be able to perform the essential functions of the job and, if requested, reasonable accommodations will be made to enable employees with disabilities to perform the essential functions, absent undue hardship. In addition, Prime retains the right to change or assign other duties to this job. Potential pay for this position ranges from $59,000.00 - $94,000.00 based on experience and skills. To review our Benefits, Incentives and Additional Compensation, visit our Benefits Page (https://www.primetherapeutics.com/benefits) and click on the ""Benefits at a glance"" button for more detail. Prime Therapeutics LLC is proud to be an equal opportunity and affirmative action employer. We encourage diverse candidates to apply, and all qualified applicants will receive consideration for employment without regard to race, color, religion, gender, sex (including pregnancy), national origin, disability, age, veteran status, or any other legally protected class under federal, state, or local law. _ _ We welcome people of different backgrounds, experiences, abilities, and perspectives including qualified applicants with arrest and conviction records and any qualified applicants requiring reasonable accommodations in accordance with the law. Prime Therapeutics LLC is a Tobacco-Free Workplace employer. Positions will be posted for a minimum of five consecutive workdays. Prime Therapeutics' fast-paced and dynamic work environment is ideal for proactively addressing the constant changes in today's health care industry. Our employees are involved, empowered, and rewarded for their achievements. We value new ideas and work collaboratively to provide the highest quality of care and service to our members. If you are looking to advance your career within a growing, team-oriented, award-winning company, apply to Prime Therapeutics today and start making a difference in people's lives. Prime Therapeutics LLC is proud to be an equal opportunity and affirmative action employer. We encourage diverse candidates to apply, and all qualified applicants will receive consideration for employment without regard to race, color, religion, gender, sex (including pregnancy), national origin, disability, age, veteran status, or any other legally protected class under federal, state, or local law. We welcome people of different backgrounds, experiences, abilities, and perspectives including qualified applicants with arrest and conviction records and any qualified applicants requiring reasonable accommodations in accordance with the law. Prime Therapeutics LLC is a Tobacco-Free Workplace employer. If you are an applicant with a disability and need a reasonable accommodation for any part of the employment process, please contact Human Resources at 1.866.469.1257 or email Careers@primetherapeutics.com. If you have questions about this posting, please contact support@lensa.com",2,USA,Data & Reporting Analyst - REMOTE,"data analysis,reporting,business intelligence,sql,microsoft excel,microsoft access,cognos,sas,alteryx,qlikview,microstrategy,business objects,tableau,data consolidation,data modeling,pbm,medical claims,pharmacy claims,healthcare data,benefits data,quality process improvement,requirements documentation,training materials",https://www.linkedin.com/jobs/view/data-reporting-analyst-remote-at-lensa-4333648702?refId=z4Hbs8BIbGfve151LEzU4A%3D%3D&trackingId=rTx60i9GYX21oml%2FLCyhQQ%3D%3D&position=25&pageNum=0,"Austin, TX"
